State,Year,CandidateVotes,TotalVotes,PartyAffiliation
Missouri,1994,1060149,1775116,REPUBLICAN
Oregon,2020,912814,2321249,REPUBLICAN
Nevada,2010,3175,721404,OTHER
Oklahoma,2008,763375,1346819,REPUBLICAN
Alabama,2004,1848,1839066,OTHER
Missouri,2010,2,1943899,OTHER
Iowa,2002,8864,1023075,LIBERTARIAN
Louisiana,2004,15097,1848056,OTHER
Kentucky,2020,70,2135057,OTHER
Maryland,2018,1491614,2299889,DEMOCRAT
Ohio,2000,116724,4448801,LIBERTARIAN
Tennessee,1984,557016,1648036,REPUBLICAN
Iowa,1996,4248,1224054,OTHER
Connecticut,1988,10,1383526,OTHER
Washington,1982,943655,1368476,DEMOCRAT
Delaware,2000,181566,326993,DEMOCRAT
New York,2010,35489,4757635,OTHER
Georgia,2020,35431,4914361,LIBERTARIAN
Virginia,2012,6587,3802196,OTHER
South Carolina,2016,14872,2049893,OTHER
Kansas,1992,349525,1126447,DEMOCRAT
Arkansas,1992,366373,920008,REPUBLICAN
Tennessee,2008,7645,2424585,OTHER
Arkansas,2014,17210,847505,LIBERTARIAN
New Jersey,1994,9387,2054887,OTHER
Connecticut,2010,605204,1153115,DEMOCRAT
Alabama,1978,316170,729842,REPUBLICAN
California,1976,31629,7470586,OTHER
Colorado,2002,7140,1416082,OTHER
Missouri,2012,165468,2725793,LIBERTARIAN
New Jersey,2000,7241,3015662,OTHER
Delaware,1978,1663,162072,OTHER
Louisiana,2016,204026,1997218,REPUBLICAN
Iowa,2016,549460,1541036,DEMOCRAT
New York,1992,224914,7078805,OTHER
Tennessee,2012,2,2321477,OTHER
North Carolina,1980,7602,1797665,LIBERTARIAN
Ohio,1982,36103,3395463,LIBERTARIAN
Florida,1994,1039,4106816,OTHER
Connecticut,1976,561018,1361666,DEMOCRAT
Nebraska,1994,1240,579205,OTHER
Florida,2012,19,8189946,OTHER
New York,2004,168719,7447818,OTHER
Pennsylvania,1980,2230404,4418042,REPUBLICAN
Tennessee,2012,8080,2321477,OTHER
South Dakota,2016,265516,369656,REPUBLICAN
Mississippi,2006,9522,610921,LIBERTARIAN
Utah,1986,94,435111,OTHER
Illinois,1992,100422,4939558,OTHER
New York,2010,4516,4757635,OTHER
Delaware,2000,1044,326993,OTHER
Nebraska,2014,170127,540337,DEMOCRAT
Idaho,1992,208036,478504,DEMOCRAT
Arizona,2018,57442,2384308,OTHER
Massachusetts,2012,1458048,3184196,REPUBLICAN
New Mexico,1990,193,406938,OTHER
Tennessee,2014,5759,1374065,OTHER
Montana,1976,206232,321445,DEMOCRAT
New Hampshire,2010,4753,454710,LIBERTARIAN
New Jersey,1990,7804,1938454,OTHER
Missouri,2016,12,2802637,OTHER
Iowa,1992,4999,1292494,OTHER
Wyoming,1996,5289,211077,LIBERTARIAN
Nebraska,2012,455593,788572,REPUBLICAN
Nevada,2018,9196,972132,LIBERTARIAN
Georgia,2010,12,2555258,OTHER
New Mexico,2020,474483,917237,DEMOCRAT
Oregon,2016,61915,1952478,OTHER
New Mexico,2020,24271,917237,LIBERTARIAN
Michigan,1982,4335,2994334,OTHER
California,2006,117764,8541476,OTHER
New York,1982,15206,4967729,OTHER
California,2018,6019422,11113364,DEMOCRAT
North Carolina,1992,23,2577891,OTHER
Nevada,1986,9472,261932,OTHER
Oregon,1996,5426,1360230,OTHER
Massachusetts,2008,926044,3102995,REPUBLICAN
Maryland,2016,3231,2726170,OTHER
California,1976,3748973,7470586,REPUBLICAN
Kentucky,1996,724794,1307046,REPUBLICAN
Virginia,1976,70559,1557500,OTHER
Missouri,2002,935032,1877620,REPUBLICAN
Louisiana,1986,723586,1369897,DEMOCRAT
New York,2004,16196,7447818,OTHER
North Carolina,2002,727,2331181,OTHER
Vermont,1980,101421,209124,REPUBLICAN
New York,2010,24871,4763899,LIBERTARIAN
New Hampshire,1978,2070,263760,LIBERTARIAN
South Dakota,1990,135682,258976,REPUBLICAN
California,2016,4701417,12244170,DEMOCRAT
New Jersey,1994,6303,2054887,OTHER
Florida,1992,1716505,4962290,REPUBLICAN
Montana,1976,115213,321445,REPUBLICAN
Kansas,1984,6755,996729,LIBERTARIAN
Minnesota,1988,415,2093953,OTHER
Georgia,2020,26333,4914361,DEMOCRAT
Wyoming,2006,57671,196215,DEMOCRAT
Kansas,1986,246664,823566,DEMOCRAT
Florida,2016,56,9301820,OTHER
Texas,1978,128,2312540,OTHER
Arkansas,2010,288156,779957,DEMOCRAT
North Dakota,2000,111069,287539,REPUBLICAN
Florida,2010,24850,5411106,LIBERTARIAN
Texas,1994,2604218,4279940,REPUBLICAN
California,1994,255301,8514089,OTHER
Maryland,2016,15,2726170,OTHER
Pennsylvania,1992,219319,4802410,LIBERTARIAN
Nevada,1986,130955,261932,DEMOCRAT
California,1992,373051,10799703,OTHER
South Dakota,1980,190594,327478,REPUBLICAN
Michigan,1984,2279,3700938,OTHER
Virginia,2002,145102,1489422,OTHER
Vermont,2000,189133,288500,REPUBLICAN
Georgia,2020,40349,4914361,REPUBLICAN
Florida,2018,4089472,8190005,DEMOCRAT
Pennsylvania,2000,2154908,4735116,DEMOCRAT
Oklahoma,1998,15516,859713,OTHER
Arizona,2012,290,2243422,OTHER
North Dakota,1988,4334,289170,LIBERTARIAN
Nebraska,2014,6260,540337,OTHER
Minnesota,2008,12,2887646,OTHER
New York,2012,240819,7116628,OTHER
Maine,2020,228,828305,OTHER
Utah,2016,760220,1115583,REPUBLICAN
Arizona,2020,29,3355307,REPUBLICAN
Illinois,1992,8656,4939558,OTHER
Minnesota,1988,9016,2093953,OTHER
West Virginia,2014,5,453689,OTHER
Utah,2004,626640,911726,REPUBLICAN
Missouri,2006,18383,2128459,OTHER
Missouri,1982,784876,1543521,REPUBLICAN
Minnesota,1976,125612,1912020,OTHER
Mississippi,2018,12981,936215,LIBERTARIAN
Florida,1976,130,2857534,OTHER
New Jersey,1996,11107,2883466,OTHER
Pennsylvania,2016,2865012,6051856,DEMOCRAT
Wisconsin,2018,1184885,2657841,REPUBLICAN
Massachusetts,1978,890584,1985700,REPUBLICAN
Minnesota,1994,5054,1772929,OTHER
New York,2000,40991,6959662,OTHER
Kentucky,1992,17366,1330858,LIBERTARIAN
Delaware,2018,137127,362592,REPUBLICAN
Minnesota,1994,781860,1772929,DEMOCRAT
Virginia,1978,613232,1222256,REPUBLICAN
Indiana,2006,444,1341111,OTHER
Colorado,2016,99277,2743023,LIBERTARIAN
South Carolina,1996,9740,1161231,OTHER
Missouri,2004,10404,2706402,OTHER
North Dakota,2004,98553,310696,REPUBLICAN
Ohio,2010,26454,3815098,OTHER
Pennsylvania,2012,2509132,5627422,REPUBLICAN
Illinois,1980,5626,4580029,OTHER
Massachusetts,1984,408,2530471,OTHER
Illinois,2016,77,5491878,OTHER
Vermont,2010,1433,235178,OTHER
Utah,2006,356238,571252,REPUBLICAN
Minnesota,1976,5476,1912020,LIBERTARIAN
Colorado,2016,36805,2743023,OTHER
Massachusetts,1988,13199,2606225,LIBERTARIAN
Mississippi,2008,560064,1243473,OTHER
New Jersey,1978,3809,1957515,OTHER
Michigan,1984,23,3700938,OTHER
Wyoming,2012,91,250700,OTHER
Mississippi,2018,6048,936215,OTHER
Nevada,1994,12626,380530,OTHER
Illinois,2016,117619,5491878,OTHER
Nebraska,1988,10372,667860,OTHER
Arizona,2020,22,3355307,DEMOCRAT
Tennessee,2012,5,2321477,OTHER
Illinois,1986,2033783,3122883,DEMOCRAT
Oklahoma,1998,570682,859713,REPUBLICAN
New Mexico,1990,110033,406938,DEMOCRAT
New Jersey,1982,2955,2193945,OTHER
West Virginia,1994,290495,420936,DEMOCRAT
Utah,1992,420069,758479,REPUBLICAN
Arkansas,1980,331,808812,OTHER
Missouri,1994,81264,1775116,LIBERTARIAN
Michigan,2012,2735826,4652918,DEMOCRAT
Alaska,2010,1459,255503,LIBERTARIAN
Alaska,1998,165227,221807,REPUBLICAN
Oregon,2002,1354,1267221,OTHER
Nebraska,1994,317297,579205,DEMOCRAT
Pennsylvania,1976,5484,4546353,OTHER
Nevada,1992,7279,495887,OTHER
Colorado,2008,10,2331621,OTHER
Georgia,2020,51592,4914361,REPUBLICAN
Louisiana,2016,4067,1997218,LIBERTARIAN
Hawaii,1988,66987,323876,REPUBLICAN
New York,1998,109027,4989877,OTHER
Missouri,2000,1933,2361586,OTHER
Arizona,1980,422972,874238,DEMOCRAT
Illinois,1984,59777,4787335,LIBERTARIAN
Ohio,2006,1761037,4019236,REPUBLICAN
Arizona,2020,69,3355307,OTHER
Georgia,2020,980454,4914361,REPUBLICAN
North Carolina,2020,67818,5474952,OTHER
Illinois,1980,2565302,4580029,DEMOCRAT
Kentucky,2002,399634,1131313,DEMOCRAT
Iowa,1990,535975,983933,DEMOCRAT
Washington,1976,361546,1491111,REPUBLICAN
California,2010,128510,10000160,OTHER
Georgia,2020,94406,4914361,DEMOCRAT
Missouri,2000,13,2361586,OTHER
Illinois,2010,15,3704473,OTHER
Montana,1984,154308,379155,REPUBLICAN
Wyoming,2014,121554,171153,REPUBLICAN
New Hampshire,1992,9340,518170,OTHER
Minnesota,1996,5428,2182905,LIBERTARIAN
New Hampshire,2002,2396,447135,OTHER
Rhode Island,2018,840,376738,OTHER
Montana,1990,217563,319336,DEMOCRAT
New York,1998,2386314,4989877,DEMOCRAT
Vermont,2004,6486,307208,OTHER
Virginia,1990,876782,1083690,REPUBLICAN
Massachusetts,2012,2159,3184196,OTHER
Tennessee,1996,4104,1778664,OTHER
Connecticut,1976,558,1361666,OTHER
Wyoming,2000,157622,213659,REPUBLICAN
New Jersey,2002,24308,2112604,OTHER
Alaska,2008,13197,317723,OTHER
Kentucky,2020,1,2135057,OTHER
Alaska,2010,602,255503,OTHER
Michigan,1982,42,2994334,OTHER
Wyoming,2014,29377,171153,DEMOCRAT
Colorado,2014,944203,2041058,DEMOCRAT
Colorado,1978,2518,819256,OTHER
Iowa,2008,560006,1502918,REPUBLICAN
Minnesota,2014,881,1981528,OTHER
Utah,1982,953,530802,OTHER
New Jersey,1994,3606,2054887,OTHER
Virginia,2000,1420460,2718301,REPUBLICAN
Idaho,2008,3,644780,OTHER
Delaware,1976,437,224795,OTHER
Minnesota,2000,140583,2419520,OTHER
Minnesota,1978,8083,1580622,OTHER
Pennsylvania,2004,79263,5559105,LIBERTARIAN
Arizona,2020,1716467,3355307,DEMOCRAT
South Carolina,1996,510951,1161231,DEMOCRAT
Mississippi,2012,15281,1241568,OTHER
West Virginia,1984,3299,722212,OTHER
Missouri,2000,10612,2361586,OTHER
Hawaii,1998,11908,398124,LIBERTARIAN
Arizona,1988,5195,1164539,OTHER
Michigan,1976,2218,3490412,OTHER
Florida,2006,19695,4793534,OTHER
Indiana,2010,952116,1744481,REPUBLICAN
Wyoming,2014,13311,171153,OTHER
New York,2000,191141,6959662,OTHER
Maryland,1994,559908,1369101,REPUBLICAN
Maryland,2012,430934,2633234,OTHER
Alaska,1998,7126,221807,OTHER
North Carolina,1996,143,2556456,OTHER
Vermont,1998,629,214036,OTHER
Louisiana,1998,7964,969165,REPUBLICAN
Florida,2006,24880,4793534,OTHER
Wyoming,1990,56848,157632,DEMOCRAT
Michigan,2020,2642233,5479720,REPUBLICAN
Wyoming,1988,89821,180964,DEMOCRAT
Illinois,1992,12689,4939558,OTHER
Arizona,1986,18,862921,OTHER
Connecticut,2010,5,1153115,OTHER
Kentucky,2004,850855,1724362,DEMOCRAT
Iowa,2020,1211,1700130,OTHER
New Hampshire,2002,9835,447135,LIBERTARIAN
New York,1994,17991,5328486,LIBERTARIAN
Oklahoma,2014,25965,820890,OTHER
Arizona,1992,436321,1382051,DEMOCRAT
Alabama,2016,748709,2087444,DEMOCRAT
Connecticut,1982,499146,1083508,DEMOCRAT
Mississippi,2014,378481,631858,REPUBLICAN
Tennessee,1978,45908,1157094,OTHER
New Hampshire,2008,430,694787,OTHER
Pennsylvania,2012,3021364,5627422,DEMOCRAT
North Dakota,1994,99390,236547,REPUBLICAN
Georgia,1986,623707,1225008,DEMOCRAT
Connecticut,1980,763969,1356075,DEMOCRAT
Washington,1976,3389,1491111,OTHER
Idaho,1992,270468,478504,REPUBLICAN
Alaska,2004,3053,308315,OTHER
California,2004,4555922,12053295,REPUBLICAN
New York,1994,1711760,5328486,REPUBLICAN
New Hampshire,1992,18214,518170,LIBERTARIAN
New York,1988,11239,6040980,OTHER
Illinois,2020,10,5968901,OTHER
Minnesota,2006,954,2202772,OTHER
Ohio,2016,77291,5374164,OTHER
Arkansas,1996,445942,846183,REPUBLICAN
South Dakota,1980,7866,327478,OTHER
Alabama,1986,609360,1211897,DEMOCRAT
Minnesota,2018,24324,2587356,OTHER
Idaho,2010,17429,449530,OTHER
Kansas,2016,46,1177922,OTHER
Michigan,2012,10,4652918,OTHER
Massachusetts,1988,1693344,2606225,DEMOCRAT
Maine,2006,113131,545128,DEMOCRAT
Ohio,1980,42410,4027303,OTHER
Louisiana,2010,476572,1264994,DEMOCRAT
New Mexico,2012,395717,775793,DEMOCRAT
Alaska,2010,61,255503,OTHER
Vermont,1994,85868,211672,DEMOCRAT
Massachusetts,2020,1177765,3658005,REPUBLICAN
New York,2000,3040,6959662,OTHER
Hawaii,2010,79939,370583,REPUBLICAN
Montana,1996,19276,407490,OTHER
Utah,2018,28774,1062845,OTHER
Arizona,2020,28,3355307,REPUBLICAN
Arkansas,2002,433386,804121,DEMOCRAT
Ohio,1994,252031,3436884,OTHER
Georgia,2020,17954,4914361,OTHER
Montana,1982,12412,321062,LIBERTARIAN
Florida,2000,17338,5856731,OTHER
West Virginia,2010,230013,529948,REPUBLICAN
Michigan,1994,506,3043385,OTHER
Arizona,1992,771395,1382051,REPUBLICAN
Connecticut,2004,9188,1424726,LIBERTARIAN
New Jersey,1994,14343,2054887,OTHER
Iowa,2010,718215,1116063,REPUBLICAN
Mississippi,2018,547619,936215,REPUBLICAN
Tennessee,2012,18,2321477,OTHER
Colorado,1992,803725,1552289,DEMOCRAT
Louisiana,2016,45587,1997218,DEMOCRAT
Tennessee,2006,10831,1833695,OTHER
North Dakota,1976,103466,283062,REPUBLICAN
Missouri,2016,25407,2802637,OTHER
New Hampshire,1998,4733,314696,OTHER
Indiana,1994,1039625,1543568,REPUBLICAN
Connecticut,1998,628306,964457,DEMOCRAT
South Dakota,2002,166949,337501,REPUBLICAN
New York,1980,73,6014914,OTHER
California,1992,5853651,10782743,DEMOCRAT
Vermont,1998,2459,214036,OTHER
Vermont,2016,6192,320467,OTHER
West Virginia,2018,288808,582911,DEMOCRAT
Alabama,2008,1305383,2060191,REPUBLICAN
Utah,1988,6016,640702,OTHER
Michigan,1982,1223288,2994334,REPUBLICAN
Delaware,1978,93930,162072,DEMOCRAT
Vermont,2018,2763,272624,OTHER
South Carolina,1978,351917,632063,REPUBLICAN
Kansas,2016,65760,1177922,LIBERTARIAN
South Carolina,1990,244112,750716,DEMOCRAT
Virginia,1988,1474086,2068897,DEMOCRAT
Utah,2018,665215,1062845,REPUBLICAN
Tennessee,2014,11157,1374065,OTHER
Tennessee,2002,6401,1642432,OTHER
Illinois,1978,5465,3184764,OTHER
Kentucky,2020,816257,2135057,DEMOCRAT
Arizona,2006,814398,1526782,REPUBLICAN
Massachusetts,2002,6077,2220301,OTHER
Missouri,1988,1407416,2078875,REPUBLICAN
Michigan,2012,84480,4652918,LIBERTARIAN
California,1986,109856,7398462,OTHER
Arkansas,2010,376,779957,OTHER
Maryland,2004,9009,2321931,OTHER
Illinois,2016,106,5491878,OTHER
New Hampshire,2008,358438,694787,DEMOCRAT
Tennessee,2014,12570,1374065,OTHER
Colorado,1978,5789,819256,OTHER
Wisconsin,1976,4876,1935183,OTHER
Utah,2006,2512,571252,OTHER
Louisiana,1984,1,1,DEMOCRAT
Vermont,1998,2893,214036,OTHER
Tennessee,2000,259,1928613,OTHER
Montana,2000,208082,411601,REPUBLICAN
Idaho,2020,538446,859827,REPUBLICAN
Arizona,1988,20849,1164539,LIBERTARIAN
Missouri,2016,53,2802637,OTHER
Connecticut,2010,559,1153115,OTHER
Ohio,2006,2257369,4019236,DEMOCRAT
Missouri,1980,6707,2066965,OTHER
Florida,1988,2016553,4068209,DEMOCRAT
Wyoming,1990,100784,157632,REPUBLICAN
Tennessee,2008,9170,2424585,OTHER
Michigan,1982,6085,2994334,OTHER
Delaware,1988,92378,243493,DEMOCRAT
Vermont,1994,709,211672,OTHER
Illinois,2004,69253,5141520,LIBERTARIAN
Illinois,2004,2957,5141520,OTHER
New York,2016,3474,7800725,OTHER
Alabama,1984,498508,1371234,REPUBLICAN
Maryland,2016,1659907,2726170,DEMOCRAT
Hawaii,1990,4787,349666,LIBERTARIAN
Maine,1996,23441,606777,OTHER
Maryland,2012,48,2633234,OTHER
Michigan,1976,1635087,3490412,REPUBLICAN
Illinois,2004,1390690,5141520,REPUBLICAN
Kentucky,2014,9,1435868,OTHER
Colorado,1998,9775,1327235,OTHER
New York,1976,311494,6666875,OTHER
New Jersey,2000,32841,3015662,OTHER
Alabama,1980,610175,1296757,DEMOCRAT
Wyoming,2008,61,250007,OTHER
New Jersey,2006,7918,2250070,OTHER
Vermont,1982,774,168002,OTHER
New York,1982,1415749,4967729,REPUBLICAN
Wyoming,1982,72466,167191,DEMOCRAT
Arizona,2020,152,3355307,OTHER
Wyoming,1994,3669,201710,LIBERTARIAN
Wisconsin,1988,1198,2168190,OTHER
Michigan,2006,24,3780142,OTHER
Louisiana,2004,12289,1848056,DEMOCRAT
West Virginia,1978,249034,493351,DEMOCRAT
Colorado,1998,4101,1327235,OTHER
New Jersey,1978,3817,1957515,OTHER
Tennessee,2012,117,2321477,OTHER
Vermont,2010,1021,235178,OTHER
Idaho,2008,371744,644780,REPUBLICAN
New York,2004,36942,7447818,OTHER
Arkansas,1980,477905,808812,DEMOCRAT
Missouri,1992,1057967,2354916,DEMOCRAT
North Dakota,1986,141812,289013,REPUBLICAN
New Jersey,2014,791297,1869535,REPUBLICAN
Vermont,1982,892,168002,LIBERTARIAN
Michigan,1988,1348219,3505985,REPUBLICAN
South Dakota,2014,82456,279412,DEMOCRAT
Idaho,2016,41677,678943,OTHER
Massachusetts,2000,42113,2734048,OTHER
Minnesota,1988,3105,2093953,OTHER
Nebraska,1988,378717,667860,DEMOCRAT
Ohio,1994,84,3436884,OTHER
New York,1998,14735,4989877,OTHER
Hawaii,2018,276316,388351,DEMOCRAT
Alaska,1980,84159,156762,REPUBLICAN
Pennsylvania,1986,1448219,3378226,DEMOCRAT
Tennessee,1994,1719,1465862,OTHER
Massachusetts,2000,334341,2734048,REPUBLICAN
South Carolina,1978,280146,632063,DEMOCRAT
Oregon,2004,565254,1780550,REPUBLICAN
Massachusetts,2008,1971974,3102995,DEMOCRAT
Washington,2006,29331,2083734,LIBERTARIAN
Minnesota,2008,8907,2887646,OTHER
Tennessee,2020,1040691,2959761,DEMOCRAT
Washington,2018,1282804,3086168,REPUBLICAN
Georgia,1992,618877,1253991,DEMOCRAT
Florida,2010,1607549,5411106,OTHER
Wisconsin,2000,21348,2540083,LIBERTARIAN
Maine,1976,193489,486193,REPUBLICAN
Tennessee,2018,5084,2243740,OTHER
Pennsylvania,1988,6455,4366598,OTHER
Wyoming,2018,325,203420,OTHER
Montana,2006,196283,406505,REPUBLICAN
Kansas,2002,641075,776850,REPUBLICAN
Michigan,2008,43440,4848620,OTHER
Alaska,2010,60045,255503,DEMOCRAT
New Mexico,1988,36,508598,OTHER
New Jersey,2012,1987680,3376649,DEMOCRAT
Montana,2002,204853,326537,DEMOCRAT
Utah,2012,8342,1006901,OTHER
North Carolina,2014,201,2915281,OTHER
Delaware,2010,174012,307402,DEMOCRAT
Connecticut,2016,87948,1596276,OTHER
Colorado,2020,9820,3235790,OTHER
Kansas,2010,587175,837692,REPUBLICAN
Michigan,1996,12235,3762575,OTHER
Hawaii,1980,224485,288006,DEMOCRAT
New York,2006,210579,4700632,OTHER
California,2006,133851,8541476,LIBERTARIAN
Pennsylvania,1982,16530,3604108,OTHER
Minnesota,1988,856694,2093953,DEMOCRAT
New Jersey,2006,6243,2250070,OTHER
Tennessee,2000,3135,1928613,OTHER
Louisiana,2016,1576,1997218,REPUBLICAN
North Carolina,2010,1145074,2660079,DEMOCRAT
Kansas,1998,474639,727236,REPUBLICAN
Ohio,2000,786,4448801,OTHER
Arizona,2012,102109,2243422,LIBERTARIAN
Connecticut,2018,8838,1386840,LIBERTARIAN
Maine,2012,10289,724720,OTHER
Iowa,1998,289049,947907,DEMOCRAT
North Dakota,1994,137157,236547,DEMOCRAT
Wisconsin,1992,2733,2455124,OTHER
Wisconsin,1988,3965,2168190,OTHER
Oklahoma,1990,148814,884498,REPUBLICAN
Tennessee,2018,8717,2243740,OTHER
Illinois,2010,12,3704473,OTHER
New Hampshire,2016,17742,739140,OTHER
Hawaii,1994,256189,356902,DEMOCRAT
North Dakota,2012,158401,321144,REPUBLICAN
Washington,2010,1314930,2511094,DEMOCRAT
Washington,1982,332273,1368476,REPUBLICAN
Vermont,2018,914,272624,OTHER
Vermont,1980,104176,209124,DEMOCRAT
Michigan,2018,2214478,4237271,DEMOCRAT
New Mexico,1976,234681,413056,REPUBLICAN
Nevada,1998,8129,435864,LIBERTARIAN
New Jersey,1996,7749,2883466,OTHER
South Carolina,2014,47588,1240075,OTHER
Texas,1978,17869,2312540,OTHER
Minnesota,1978,538675,1558376,DEMOCRAT
Mississippi,2002,533269,630495,REPUBLICAN
Oklahoma,1978,3015,754264,OTHER
New Hampshire,1986,11423,244735,OTHER
Georgia,2008,1757393,3752485,DEMOCRAT
West Virginia,2020,547454,778918,REPUBLICAN
Oregon,2004,12397,1780550,OTHER
Colorado,2010,19415,1772286,OTHER
Iowa,2016,1685,1541036,OTHER
Illinois,1992,2126833,4939558,REPUBLICAN
Washington,2006,21254,2083734,OTHER
Maine,1988,104164,556745,REPUBLICAN
Massachusetts,2012,1696346,3184196,DEMOCRAT
Massachusetts,2002,213543,2220301,OTHER
Pennsylvania,1980,18595,4418042,LIBERTARIAN
Massachusetts,2014,1289944,2186789,DEMOCRAT
Delaware,2018,217385,362592,DEMOCRAT
Michigan,2020,50597,5479720,OTHER
Connecticut,1992,304907,1500661,OTHER
Michigan,1994,14746,3043385,OTHER
Pennsylvania,2016,2951702,6051856,REPUBLICAN
Ohio,2016,111,5374164,OTHER
Arkansas,1998,295870,700831,REPUBLICAN
New York,2010,250033,4757635,OTHER
Florida,1998,2436407,3900162,DEMOCRAT
Tennessee,1976,5137,1432046,OTHER
Mississippi,2000,9344,994144,OTHER
New York,1976,2525139,6666875,REPUBLICAN
Missouri,1994,5,1775116,OTHER
Missouri,2010,41309,1943899,OTHER
Connecticut,1992,577662,1500661,DEMOCRAT
New Mexico,1982,217682,404810,DEMOCRAT
Maine,1994,308244,511733,REPUBLICAN
South Carolina,1992,22962,1180438,LIBERTARIAN
New York,2018,21610,6055151,OTHER
Alabama,2014,795606,818090,REPUBLICAN
Maine,1982,179882,459715,REPUBLICAN
Idaho,1998,7833,378174,OTHER
Vermont,1982,187,168002,OTHER
Nevada,2000,11503,600776,OTHER
Wyoming,2006,3019,196215,OTHER
Illinois,1996,61023,4250722,OTHER
Maryland,2000,1594,1946898,OTHER
Maine,2018,64,634409,OTHER
Missouri,2006,88,2128459,OTHER
South Carolina,1984,13333,965130,LIBERTARIAN
Arkansas,2004,128,1039349,OTHER
Rhode Island,1984,107545,393356,REPUBLICAN
Florida,2000,88,5856731,OTHER
Ohio,2010,50101,3815098,OTHER
Delaware,1996,1698,275591,OTHER
Kansas,2008,441399,1210690,DEMOCRAT
Wisconsin,2010,129,2171331,OTHER
Connecticut,1980,5336,1356075,LIBERTARIAN
Nevada,1980,92129,243273,DEMOCRAT
Indiana,2012,1133621,2560102,REPUBLICAN
Wyoming,2014,3677,171153,LIBERTARIAN
Alabama,2002,538878,1353023,DEMOCRAT
Georgia,2020,15293,4914361,OTHER
Alabama,2002,20234,1353023,LIBERTARIAN
New Hampshire,2016,520,739140,OTHER
Kentucky,2008,847005,1800821,DEMOCRAT
Hawaii,1980,53068,288006,REPUBLICAN
Ohio,1986,1949208,3121189,DEMOCRAT
Maine,1978,127327,375114,DEMOCRAT
Wyoming,1994,79287,201710,DEMOCRAT
Nevada,2016,495079,1108294,REPUBLICAN
Massachusetts,2000,2473,2734048,OTHER
Kansas,2008,16443,1210690,OTHER
Connecticut,1986,340438,976933,REPUBLICAN
Minnesota,1978,638375,1580622,DEMOCRAT
Oregon,2020,2402,2321249,OTHER
Connecticut,1982,30212,1083508,OTHER
Virginia,1982,724571,1415622,REPUBLICAN
Hawaii,1990,155978,349666,REPUBLICAN
New Jersey,2008,1951218,3482445,DEMOCRAT
Nevada,1980,144224,243273,REPUBLICAN
Ohio,2000,1595066,4448801,DEMOCRAT
Ohio,1998,210,3404351,OTHER
Colorado,1980,7265,1173142,OTHER
New York,2000,3562415,6959662,DEMOCRAT
Nevada,1992,253150,495887,DEMOCRAT
Alaska,1990,2999,189957,OTHER
Texas,1984,273,5314178,OTHER
Rhode Island,2014,92684,316898,REPUBLICAN
Louisiana,2016,25523,1997218,REPUBLICAN
Nevada,2012,48792,997805,OTHER
Arizona,2010,160,1708484,OTHER
Kentucky,2014,584698,1435868,DEMOCRAT
Missouri,2012,15,2725793,OTHER
Arizona,2012,1036542,2243422,DEMOCRAT
Arizona,1994,442510,1119060,DEMOCRAT
Minnesota,1984,852844,2066143,DEMOCRAT
Nebraska,2008,7763,792511,OTHER
Colorado,2014,52876,2041058,LIBERTARIAN
Texas,1978,1151376,2312540,REPUBLICAN
Colorado,2002,20776,1416082,LIBERTARIAN
Missouri,2016,1,2802637,OTHER
Nevada,1988,161336,342407,REPUBLICAN
Georgia,1996,1073969,2259224,REPUBLICAN
Alabama,1980,2973,1296757,OTHER
Hawaii,2016,1393,437664,OTHER
New York,1992,2943001,7078805,DEMOCRAT
Texas,1982,4564,3103167,OTHER
Alaska,2010,458,255503,OTHER
Virginia,2008,21690,3643294,OTHER
Tennessee,2006,1,1833695,OTHER
Arizona,2006,664141,1526782,DEMOCRAT
New Hampshire,2010,273218,454710,REPUBLICAN
Nevada,2004,6001,810068,OTHER
Iowa,2020,754859,1700130,DEMOCRAT
Wisconsin,1994,636989,1565628,REPUBLICAN
New Jersey,2014,5704,1869535,OTHER
Mississippi,2008,766111,1247026,REPUBLICAN
North Carolina,2020,2569965,5474952,DEMOCRAT
New York,1998,104565,4989877,OTHER
Oregon,2014,32434,1461618,OTHER
Alabama,2004,595018,1839066,DEMOCRAT
Washington,2018,1803364,3086168,DEMOCRAT
Idaho,2002,266215,408544,REPUBLICAN
Missouri,2012,2,2725793,OTHER
Kansas,2014,37469,866191,LIBERTARIAN
North Carolina,2002,1248664,2331181,REPUBLICAN
Michigan,2008,76347,4848620,LIBERTARIAN
North Carolina,1980,887653,1797665,DEMOCRAT
North Dakota,2016,268788,342501,REPUBLICAN
North Carolina,1984,2493,2239051,OTHER
Vermont,2010,113,235178,OTHER
Tennessee,1990,530898,783922,DEMOCRAT
Maryland,1976,772101,1365290,DEMOCRAT
Illinois,1986,5671,3122883,OTHER
South Carolina,2016,12652,2049893,OTHER
California,2006,2990822,8541476,REPUBLICAN
Pennsylvania,1980,2122391,4418042,DEMOCRAT
Pennsylvania,1976,2126977,4546353,DEMOCRAT
California,2006,326,8541476,OTHER
Alaska,1998,665,221807,OTHER
South Carolina,2014,4774,1240075,OTHER
Massachusetts,1990,109950,2424579,OTHER
Pennsylvania,1998,68377,2957499,OTHER
Minnesota,1990,1851,1808045,OTHER
Nebraska,2002,7423,480217,LIBERTARIAN
New York,1994,95954,5328486,OTHER
Massachusetts,2000,42,2734048,OTHER
Minnesota,2002,1067246,2254636,DEMOCRAT
